0,1,2,3,4,5,6,7,8,9
4.1901574,13.025324,-2.3305404,7.3566465,-12.259788,8.2679405,-42.885967,9.736044,-0.33740115,-14.829994
-4.8848915,0.96950555,-7.914945,8.010765,-2.5599248,12.048433,-34.632465,3.4575994,11.921504,-0.45350766
15.318418,10.859587,1.6005983,-5.750582,-9.227369,15.527082,-27.54852,-0.1886884,4.635968,0.37038732
-2.3626804,10.321093,0.61921734,-1.7188977,-11.749738,5.430522,-23.468739,3.919093,8.829796,-7.7690163
2.514282,-2.5582986,0.27828264,-8.209332,-8.374077,9.608719,-20.546715,7.3630886,13.610899,7.5153217
-1.4823691,9.853239,-0.37149227,20.263891,-13.009119,10.068848,-31.449331,6.039496,9.636394,-26.11826
10.838782,4.268064,2.5220795,-9.068509,-9.933844,12.377612,-22.369751,3.6180773,6.585993,5.5826244
2.749856,8.476602,-0.9557691,9.415267,-7.934736,-1.0250603,-23.109936,4.717352,5.3425817,-6.9092736
9.392725,23.759975,8.031576,12.534905,-10.651606,5.36173,-45.783604,11.446313,9.22001,-7.213164
-4.2692137,7.622002,9.28619,10.350338,-6.6306877,1.2298038,-19.312244,7.9415154,12.333597,-15.373924
6.824181,22.216526,-11.744486,15.50164,2.5509555,-5.1442585,-29.30077,8.140703,12.007631,-1.6284524
8.026165,21.949186,0.5018954,-6.61277,-3.3730798,-4.6084194,-31.033066,18.76319,15.887533,-13.113973
7.5937815,28.331615,7.3123903,15.749447,1.7286878,-1.4936507,-44.63047,15.039631,3.1693714,-13.847626
9.942928,21.585148,10.95706,22.90461,-12.652533,-0.54819316,-50.691273,8.233885,14.70949,-13.179125
8.7810755,16.469019,0.79676425,15.157641,-2.3917294,-3.978385,-20.009678,12.215567,10.285346,-21.992304
-1.5271262,14.503414,12.060073,6.995798,-16.034456,5.985131,-26.919191,13.890831,3.6216397,-12.9459505
11.294133,18.91519,17.613472,12.00846,-16.892937,-4.03715,-37.083252,4.786604,9.341824,-6.357066
3.9562385,11.938532,4.2980733,5.0741587,-3.3311927,6.388301,-23.82327,16.695553,10.597154,-14.67834
2.848267,22.290518,24.53876,21.107033,-22.353699,-13.589363,-45.16553,7.0956044,24.62926,-1.1479833
4.1757445,10.098527,-2.9709587,11.171213,2.8506176,-0.124064445,-15.869895,11.007619,8.614662,-4.957112
16.881878,12.928553,4.2139416,2.4293022,12.670803,4.128046,-2.6561556,9.975534,14.190868,-7.5563016
8.273255,25.671755,26.156439,4.565787,-11.981712,18.72364,-23.812538,13.214625,0.3302089,-17.244432
2.8325603,21.781399,-8.636808,19.495754,-1.304637,-0.6887553,-37.84597,22.388077,2.7571056,-19.194407
4.4923716,22.086084,-8.019265,25.281868,1.4422194,-6.3805814,-24.589123,8.97171,7.806224,-13.749958
14.263737,15.232464,-1.2752557,13.318518,-0.92762923,7.404862,-24.467129,14.619708,3.3900733,-19.71337
6.99623,4.337778,6.1320333,-1.176446,-1.4662764,5.015195,-11.833633,7.8807,12.541542,-4.5035515
7.890763,11.6922655,-6.2533855,3.191864,-3.9520752,7.9379945,-3.1736474,19.99446,4.32539,-13.745549
4.3734207,14.684841,10.335457,4.3705344,-8.657178,8.860947,-38.66431,14.160687,1.2078838,-16.28152
6.230619,12.093955,16.703318,5.3915977,-2.2476442,14.507909,-17.354332,10.360391,8.384011,-20.837353
-0.48877352,18.24254,11.092064,-2.3097157,-12.626172,4.0917263,-24.123392,13.135338,3.1605124,-12.477705
1.0814182,15.546004,6.261579,10.808486,-7.471883,11.691576,-42.295956,4.3524795,13.928862,-25.823217
-5.336844,7.9104667,3.0817573,12.256704,-11.940097,16.014408,-23.261353,-2.25954,11.519318,-10.2505
6.404088,13.074629,-5.070591,19.067547,-7.5489917,1.6493993,-20.954378,2.5861564,13.205198,-17.061682
-0.63572323,16.722992,7.160143,7.59813,-0.595196,-3.8598213,-43.46505,12.489024,16.584263,-11.187136
-5.794046,7.801154,4.167556,0.6324383,-12.596702,8.925939,-26.649347,12.155623,6.7216415,-5.580846
3.6618776,7.179377,8.661956,-0.23647738,-4.1817665,7.2749767,-38.27287,9.4108715,9.855387,-19.791824
11.193907,7.267701,2.2260487,-0.8281509,8.1489935,12.703661,-9.149092,8.159336,0.53838634,-15.878502
12.357872,25.925589,2.5651517,18.402626,3.323336,-0.23646712,-48.572594,9.59409,10.913631,-17.663614
10.4968,19.768288,-6.09431,13.070218,-0.008648753,2.3827167,-38.274647,8.320551,2.9248068,-9.708189
5.46355,5.5024376,12.680887,10.26649,-20.412441,11.374939,-34.709812,15.973089,11.61847,-7.585128
2.4767368,24.379984,24.260574,17.581234,-14.235957,1.639885,-29.17112,-0.23410124,8.403915,-22.749176
2.5061781,8.795856,-2.509621,-3.5706348,-20.758427,-1.1376216,-34.838287,6.3850555,6.8670263,6.3833127
5.092651,22.251783,11.199873,14.057539,-9.746411,0.82693136,-13.867176,9.838914,11.380246,-21.431768
13.338247,26.548447,3.1770754,27.6152,1.5088315,-2.7893558,-42.20216,3.5251904,12.781176,-12.898307
11.816086,3.5787702,-2.3990512,4.490076,-2.4101925,2.7567189,-16.065884,14.650095,2.4962623,-2.0538943
8.829234,14.395681,1.3214457,14.792109,-11.715052,1.7245184,-33.423344,7.2818074,8.072923,-6.3187323
1.8974211,6.37358,0.46155012,0.22467887,-11.172963,1.9810921,-35.174698,5.4149027,8.753281,-8.285088
12.251797,15.946673,10.8097,21.623537,-11.52928,8.2366705,-41.910156,13.297365,16.813236,-9.240544
5.8684664,11.298028,7.9319286,-1.0182172,-12.223359,7.674643,-21.442999,12.698191,5.1602,-9.345941
13.727198,6.2765913,18.164194,6.8609867,-10.778092,4.7509117,-28.329926,15.915999,10.294031,-21.637253
1.4445912,15.299711,7.9406576,15.658389,0.9464946,2.4901044,-18.507511,7.693181,11.886902,-13.680664
5.2004347,10.563443,13.736393,9.486652,-3.874075,9.017499,-49.215298,7.722477,8.858455,-10.914418
0.6635921,23.937662,4.0021963,22.368853,-8.794245,-0.50001526,-23.937038,7.9511943,12.514645,-23.902159
14.171467,23.96997,16.75695,28.029325,-17.752708,-1.0932515,-49.60143,8.85598,8.458866,-15.710142
7.213831,19.641827,9.488531,10.545057,-5.7449064,0.4262247,-33.490826,2.4325314,3.3018079,-13.302576
14.235023,12.601423,8.218581,-6.3207197,-7.7398906,-6.630333,-27.729603,14.846333,-0.37883735,-22.999842
10.8365755,21.411093,28.932032,10.2470255,-4.8694534,1.8023193,-21.261948,22.220167,-6.5589876,-31.143517
12.472816,21.124893,9.757245,10.889067,-11.631674,10.892809,-21.37136,8.899379,7.368232,-16.954062
7.1807036,0.644366,-12.182369,-0.24466848,-2.8511186,10.344294,-24.57045,2.3898258,4.826156,-0.12414014
5.857737,0.2304847,-0.0133343935,1.607645,2.0069804,7.057219,-12.435945,2.5183601,14.333576,0.5438279
4.4970145,12.893054,7.86969,-2.0952425,-8.907682,8.152512,-32.26776,12.486253,7.627519,-8.683917
2.9341786,12.992918,4.7971463,3.3932657,0.18353546,6.997239,-39.180634,7.3376007,18.892826,-21.81993
13.563483,2.4936504,24.15439,-11.102655,-12.058078,7.6544237,-50.267628,14.981724,7.467309,-7.3616157
12.512274,17.310173,3.8209589,18.402714,-14.155868,8.220025,-31.99032,12.485815,1.682071,-12.739111
1.6649257,5.2443104,1.0943091,4.246874,-6.2599516,2.845842,-30.817354,11.051057,11.679386,-16.133327
-7.3777723,23.651829,10.945139,20.106594,-5.051773,-9.299896,-35.67069,0.015052199,7.163512,-18.26833
7.3303366,3.4117813,0.5620129,-10.22246,-4.906085,12.755244,-19.054026,2.4050558,8.812851,7.029662
3.900897,26.193113,9.273277,13.183801,-9.944371,-10.78934,-38.038757,3.1992037,0.22486377,-29.230297
17.576714,31.983295,-16.430635,16.918568,4.086665,-10.126549,-31.396395,11.993,-2.401382,-8.852975
13.121416,6.865983,-0.9945706,-11.981868,-16.957777,10.335062,-20.206692,0.8458133,4.851904,11.775364
11.909638,32.418377,1.2345803,20.172766,-2.910501,0.19053245,-37.20165,10.650696,-3.5930362,-13.534144
12.722479,3.7463307,-0.94289154,4.4687357,5.018794,4.346884,-3.701324,11.4896145,5.9143057,-11.828535
9.187353,9.373318,13.261487,3.3701205,-4.6158295,4.659846,-23.670557,23.420156,8.647065,-26.669561
3.1417098,15.049479,0.08521199,9.598009,-2.3922513,1.2455398,-35.030716,13.655774,16.794691,-12.806766
5.3732495,17.311676,13.941662,9.868856,-11.558443,0.9292538,-27.449802,11.572532,11.667488,-23.5527
16.134083,21.379044,6.7155704,28.12197,-2.4945557,1.4197543,-52.28579,11.955634,7.5967484,-15.08418
3.9998114,9.022972,4.843076,12.599997,-11.606576,-5.961439,-17.733963,13.182466,9.50246,-10.33975
8.033462,6.6352224,4.712173,6.440702,-7.1442738,6.26882,-37.503895,3.6314983,8.769108,-6.0914607
2.7637796,16.802853,9.126092,3.4604099,7.659941,12.624917,-38.837288,9.255637,14.976394,-16.828777
12.89554,11.444772,-5.634013,15.30483,-3.7361765,0.788871,-35.896652,7.188179,8.183505,-17.045536
4.980361,15.2689085,2.7486007,-0.69918406,-8.0694065,5.353558,-23.381245,9.623682,3.3328207,-8.386744
2.7158625,0.8104148,0.43725598,-1.1731827,7.653328,8.584277,-14.44468,7.875507,12.809558,-9.45281
8.02613,21.59786,11.568785,-0.39981365,0.79416394,10.217914,-13.569572,17.403482,2.8786502,-18.773403
6.4271226,29.069464,19.82229,20.420269,-15.282799,3.3120878,-31.00026,9.897282,15.94404,-25.5176
18.763855,5.6932454,5.2861395,8.497646,-1.0702541,7.1890078,-17.458393,12.831055,10.157193,-12.252987
7.506735,18.839642,3.5265994,3.9633892,1.4671936,13.344905,-15.674607,4.0740995,8.1602,-17.805475
9.216377,26.861479,-1.1910014,0.9963032,-3.4525166,0.1928215,-34.888836,13.224403,4.4743414,-20.037346
-2.4771636,1.3017124,8.123302,14.89552,-9.522496,11.097128,-33.494923,13.681078,17.074215,3.4367075
7.215491,17.842287,3.6628995,15.962662,-14.118517,-12.759177,-26.121384,9.624291,13.928452,-18.871807
11.121293,37.328697,-6.687289,7.9844294,8.96061,-0.35574088,-24.196522,14.283411,-0.27661872,-15.882103
15.024113,22.41786,10.863059,2.4329226,-17.71582,14.290745,-40.054493,16.418554,20.226946,-3.2931771
7.552821,22.399899,-4.1488357,18.292822,-5.6407986,-7.964019,-40.102642,17.773222,8.92831,-19.149258
11.097596,8.919453,-4.704178,-2.5443244,-16.0259,4.582861,-37.69243,8.129182,3.1051295,-2.8675938
3.3993664,9.785356,15.607539,8.576292,-7.123108,18.383554,-43.45653,5.479292,5.3492637,-11.109676
8.144686,20.084545,-5.8935995,9.512535,4.259204,2.7555878,-21.148651,15.045218,9.763889,-15.235276
8.075527,1.9913805,4.883656,-9.07741,-8.743023,11.764961,-20.822416,3.8831875,5.817495,2.9607074
3.686839,11.020578,5.365251,5.2989416,-22.559654,-3.001018,-29.353441,15.452965,13.980379,-0.7706058
8.075417,18.735073,-11.355133,23.939167,3.4053745,-2.482045,-34.840458,5.316661,4.012266,-18.596039
3.4649768,8.003638,5.668877,1.9078951,-21.066307,5.5550385,-30.529972,17.630346,4.915815,1.116828
7.106395,11.989106,-5.2355757,-0.41102982,-2.0173426,5.5456424,-18.853247,14.359827,10.079811,-10.594369
2.7308931,28.088308,1.0664977,-9.590538,5.535535,4.638628,-35.46339,13.519589,15.197061,-14.006664
